Date_time,No.of Black_listed_IPs
2017-05-28_1700,20715
2017-05-28_1715,20716
2017-05-28_1730,19923
2017-05-28_1745,20614
2017-05-28_1800,20614
2017-05-28_1815,20614
2017-05-28_1830,20614
2017-05-28_1845,20614
2017-05-28_1900,20614
2017-05-28_1915,20614
2017-05-28_1930,20614
2017-05-28_1945,20614
2017-05-28_2000,20614
2017-05-28_2015,20614
2017-05-28_2030,20614
2017-05-28_2045,20614
2017-05-28_2115,20615
2017-05-28_2130,20615
2017-05-28_2145,20615
2017-05-28_2200,20615
2017-05-28_2215,20615
2017-05-28_2230,20615
2017-05-28_2245,20615
2017-05-28_2300,20615
2017-05-28_2315,20615
2017-05-28_2330,20615
2017-05-28_2345,20615
2017-05-29_0000,20615
2017-05-29_0015,20615
2017-05-29_0030,20615
2017-05-29_0045,20615
2017-05-29_0100,20615
2017-05-29_0115,20610
2017-05-29_0130,20610
2017-05-29_0145,20610
2017-05-29_0200,20610
2017-05-29_0215,20610
2017-05-29_0230,20610
2017-05-29_0245,20610
2017-05-29_0300,20610
2017-05-29_0315,20609
2017-05-29_0330,20609
2017-05-29_0345,20609
2017-05-29_0400,20609
2017-05-29_0415,20609
2017-05-29_0430,20609
2017-05-29_0445,20609
2017-05-29_0500,20609
2017-05-29_0515,20612
2017-05-29_0530,20612
2017-05-29_0545,20612
2017-05-29_0600,20612
2017-05-29_0615,20612
2017-05-29_0630,20612
2017-05-29_0645,20612
2017-05-29_0700,20612
2017-05-29_0715,20614
2017-05-29_0730,20614
2017-05-29_0745,20614
2017-05-29_0800,20614
2017-05-29_0815,20614
2017-05-29_0830,20614
2017-05-29_0845,20614
2017-05-29_0900,20614
2017-05-29_0915,20614
2017-05-29_0930,20614
2017-05-29_0945,20614
2017-05-29_1000,20614
2017-05-29_1015,20614
2017-05-29_1030,20614
2017-05-29_1045,20614
2017-05-29_1100,20614
2017-05-29_1115,20614
2017-05-29_1130,20614
2017-05-29_1145,20614
2017-05-29_1200,20614
2017-05-29_1215,20614
2017-05-29_1230,20614
2017-05-29_1245,20614
2017-05-29_1300,20614
2017-05-29_1315,20613
2017-05-29_1330,20613
2017-05-29_1345,20613
2017-05-29_1400,20613
2017-05-29_1415,20613
2017-05-29_1430,20613
2017-05-29_1445,20613
2017-05-29_1500,20613
2017-05-29_1515,20616
2017-05-29_1530,20616
2017-05-29_1545,20616
2017-05-29_1600,20616
2017-05-29_1615,20616
2017-05-29_1630,20616
2017-05-29_1645,20616
2017-05-29_1700,20616
2017-05-29_1715,20616
2017-05-29_1730,20617
2017-05-29_1745,20438
2017-05-29_1800,20438
2017-05-29_1815,20438
2017-05-29_1830,20438
2017-05-29_1845,20438
2017-05-29_1900,20438
2017-05-29_1915,20438
2017-05-29_1930,20438
2017-05-29_1945,20438
2017-05-29_2000,20438
2017-05-29_2015,20438
2017-05-29_2030,20438
2017-05-29_2045,20438
2017-05-29_2100,20437
2017-05-29_2115,20441
2017-05-29_2130,20441
2017-05-29_2145,20441
2017-05-29_2200,20441
2017-05-29_2215,20441
2017-05-29_2230,20441
2017-05-29_2245,20441
2017-05-29_2300,20441
2017-05-29_2315,20439
2017-05-29_2330,20439
2017-05-29_2345,20439
2017-05-30_0000,20439
2017-05-30_0015,20439
2017-05-30_0030,20439
2017-05-30_0045,20439
2017-05-30_0100,20439
2017-05-30_0115,20441
2017-05-30_0130,20441
2017-05-30_0145,20441
2017-05-30_0200,20441
2017-05-30_0215,20441
2017-05-30_0230,20441
2017-05-30_0245,20441
2017-05-30_0300,20441
2017-05-30_0315,20437
2017-05-30_0330,20437
2017-05-30_0345,20437
2017-05-30_0400,20437
2017-05-30_0415,20437
